id,name,Death count,Total infected,Total tests,Positive Tests,Negative Tests,Peak Infected,Peak Quarantined,Peak Infected Quarantined,Peak Healthy Quarantined,Peak Infected Not Quarantined,Peak Difference Healthy to Infected Quarantined
1,Tracing0_0,4.0,706.0,457.0,457.0,0.0,307.0,122.0,83.0,54.0,244.0,12.0
2,Tracing0_1,13.0,727.0,453.0,453.0,0.0,342.0,124.0,99.0,45.0,267.0,16.0
3,Tracing0_2,8.0,711.0,463.0,463.0,0.0,315.0,118.0,85.0,50.0,249.0,8.0
4,Tracing0_3,5.0,710.0,475.0,475.0,0.0,296.0,110.0,86.0,50.0,227.0,13.0
5,Tracing0_4,9.0,734.0,504.0,504.0,0.0,380.0,150.0,116.0,67.0,308.0,14.0
6,Tracing0_5,11.0,739.0,439.0,439.0,0.0,378.0,113.0,86.0,56.0,311.0,18.0
7,Tracing0_6,9.0,731.0,458.0,458.0,0.0,386.0,137.0,110.0,42.0,304.0,11.0
8,Tracing0_7,9.0,721.0,480.0,480.0,0.0,339.0,111.0,92.0,51.0,257.0,24.0
9,Tracing0_8,5.0,736.0,460.0,460.0,0.0,378.0,136.0,96.0,51.0,305.0,15.0
10,Tracing0_9,6.0,746.0,474.0,474.0,0.0,353.0,129.0,98.0,59.0,272.0,20.0
11,Tracing100_0,0.0,365.0,5716.0,414.0,5261.0,91.0,156.0,65.0,105.0,72.0,57.0
12,Tracing100_1,7.0,372.0,6905.0,464.0,6405.0,114.0,203.0,66.0,140.0,66.0,107.0
13,Tracing100_2,0.0,288.0,4678.0,340.0,4279.0,80.0,137.0,60.0,99.0,50.0,62.0
14,Tracing100_3,3.0,378.0,5647.0,445.0,5151.0,102.0,156.0,71.0,105.0,71.0,71.0
15,Tracing100_4,4.0,349.0,6157.0,418.0,5664.0,88.0,172.0,53.0,125.0,61.0,86.0
16,Tracing100_5,5.0,372.0,6078.0,468.0,5570.0,100.0,183.0,68.0,130.0,65.0,84.0
17,Tracing100_6,6.0,346.0,5978.0,403.0,5511.0,93.0,171.0,59.0,118.0,56.0,72.0
18,Tracing100_7,1.0,377.0,6240.0,437.0,5763.0,98.0,172.0,68.0,117.0,79.0,69.0
19,Tracing100_8,5.0,377.0,5601.0,400.0,5031.0,77.0,146.0,51.0,100.0,54.0,57.0
20,Tracing100_9,4.0,390.0,6765.0,486.0,6236.0,104.0,226.0,74.0,159.0,71.0,92.0
21,Tracing20_0,6.0,419.0,2185.0,427.0,1711.0,99.0,103.0,58.0,58.0,62.0,31.0
22,Tracing20_1,4.0,527.0,2739.0,557.0,2150.0,171.0,177.0,100.0,98.0,98.0,50.0
23,Tracing20_2,3.0,370.0,1798.0,387.0,1411.0,160.0,168.0,94.0,82.0,103.0,39.0
24,Tracing20_3,6.0,537.0,2807.0,541.0,2205.0,148.0,129.0,63.0,73.0,86.0,41.0
25,Tracing20_4,5.0,506.0,2803.0,527.0,2217.0,161.0,171.0,96.0,99.0,89.0,55.0
26,Tracing20_5,6.0,477.0,2661.0,517.0,2127.0,122.0,141.0,66.0,85.0,76.0,29.0
27,Tracing20_6,5.0,426.0,2253.0,464.0,1777.0,140.0,146.0,76.0,89.0,86.0,32.0
28,Tracing20_7,3.0,411.0,2244.0,437.0,1802.0,132.0,148.0,81.0,75.0,75.0,34.0
29,Tracing20_8,5.0,423.0,2480.0,454.0,1985.0,122.0,134.0,67.0,87.0,76.0,40.0
30,Tracing20_9,3.0,409.0,2216.0,411.0,1789.0,140.0,130.0,75.0,78.0,77.0,36.0
31,Tracing40_0,2.0,418.0,3493.0,459.0,3004.0,136.0,212.0,91.0,125.0,92.0,53.0
32,Tracing40_1,8.0,479.0,3945.0,526.0,3398.0,124.0,161.0,76.0,104.0,72.0,47.0
33,Tracing40_2,1.0,379.0,3172.0,419.0,2729.0,111.0,156.0,60.0,100.0,67.0,44.0
34,Tracing40_3,10.0,455.0,3769.0,501.0,3202.0,132.0,147.0,79.0,93.0,77.0,39.0
35,Tracing40_4,9.0,479.0,4378.0,529.0,3802.0,139.0,180.0,103.0,102.0,78.0,55.0
36,Tracing40_5,2.0,405.0,3056.0,409.0,2599.0,108.0,120.0,61.0,65.0,62.0,44.0
37,Tracing40_6,7.0,376.0,2974.0,407.0,2510.0,121.0,164.0,73.0,94.0,73.0,40.0
38,Tracing40_7,2.0,385.0,3238.0,421.0,2729.0,114.0,159.0,83.0,80.0,73.0,33.0
39,Tracing40_8,4.0,457.0,3616.0,489.0,3052.0,100.0,142.0,56.0,97.0,63.0,54.0
40,Tracing40_9,2.0,423.0,3500.0,428.0,3009.0,126.0,173.0,87.0,116.0,71.0,71.0
41,Tracing60_0,4.0,411.0,4720.0,477.0,4166.0,141.0,162.0,79.0,110.0,97.0,58.0
42,Tracing60_1,3.0,291.0,3033.0,303.0,2685.0,85.0,113.0,64.0,63.0,57.0,35.0
43,Tracing60_2,3.0,379.0,3615.0,411.0,3083.0,110.0,152.0,74.0,80.0,73.0,54.0
44,Tracing60_3,5.0,353.0,3973.0,379.0,3573.0,87.0,165.0,50.0,118.0,66.0,71.0
45,Tracing60_4,1.0,390.0,4613.0,487.0,4077.0,104.0,146.0,61.0,88.0,60.0,52.0
46,Tracing60_5,6.0,392.0,3934.0,413.0,3439.0,104.0,160.0,72.0,95.0,61.0,48.0
47,Tracing60_6,4.0,429.0,4945.0,484.0,4410.0,101.0,131.0,60.0,93.0,65.0,68.0
48,Tracing60_7,2.0,418.0,4316.0,445.0,3679.0,117.0,192.0,80.0,112.0,80.0,58.0
49,Tracing60_8,2.0,338.0,3351.0,381.0,2831.0,114.0,161.0,77.0,91.0,65.0,57.0
50,Tracing60_9,2.0,318.0,3829.0,371.0,3429.0,105.0,155.0,76.0,107.0,69.0,59.0
51,Tracing80_0,2.0,311.0,4034.0,341.0,3633.0,111.0,155.0,88.0,101.0,76.0,52.0
52,Tracing80_1,4.0,382.0,5237.0,431.0,4777.0,120.0,212.0,83.0,148.0,77.0,85.0
53,Tracing80_2,8.0,338.0,4699.0,401.0,4134.0,87.0,137.0,69.0,98.0,54.0,59.0
54,Tracing80_3,2.0,362.0,4935.0,422.0,4458.0,120.0,179.0,83.0,103.0,84.0,59.0
55,Tracing80_4,7.0,332.0,4322.0,389.0,3871.0,113.0,148.0,87.0,105.0,80.0,63.0
56,Tracing80_5,3.0,428.0,6091.0,492.0,5566.0,151.0,285.0,97.0,199.0,99.0,113.0
57,Tracing80_6,3.0,348.0,4372.0,402.0,3939.0,113.0,168.0,90.0,103.0,73.0,45.0
